parameter_name,Fasted blood glucose concentration
gene_accession_id,MGI:1914583
parameter_id,IMPC_IPG_010_001
pvalue,0.6716082
mouse_life_stage,Early adult
mouse_strain,C57BL
analysis_id,943t5fi45dqms57
gene_symbol,Stk35
