parameter_id,HMGULA_DYS_024_001
analysis_id,743239053h0oy41
gene_accession_id,MGI:1913105
parameter_name,Vibrissae - appearance
gene_symbol,Slc28a2
pvalue,0.5062908
mouse_life_stage,Early adult
mouse_strain,C57BL
