parameter_id,JAX_OFD_017_001
parameter_name,Center average speed
analysis_id,93s6woy93piya8j
mouse_life_stage,Early adult
pvalue,0.8149284
mouse_strain,C57BL
gene_symbol,Slc30a4
gene_accession_id,MGI:1345282
