analysis_id,u0ya091557595jc
mouse_life_stage,E12.5
gene_accession_id,MGI:1914071
pvalue,0.3622053
parameter_name,Periphery distance travelled
parameter_id,IMPC_OFD_010_001
mouse_strain,C57BL
gene_symbol,Bcs1l
