parameter_name,cDCs CD11b Type
gene_accession_id,MGI:1328306
mouse_life_stage,E9.5
gene_symbol,Orc2
parameter_id,IMPC_IMM_073_001
pvalue,0.6675583
analysis_id,3sr1972m49vghk8
mouse_strain,C57BL
