analysis_id,ecj173bb0265h90
gene_symbol,Kif24
pvalue,0.4420346
parameter_id,M-G-P_007_001_008
gene_accession_id,MGI:1918345
mouse_strain,C57BL
mouse_life_stage,Early adult
parameter_name,Periphery - Permanence Time
