analysis_id,584w62052n58k04
gene_symbol,Nucks1
parameter_id,HRWLLA_DXA_007_001
mouse_life_stage,Early adult
parameter_name,BMC/Body weight
pvalue,0.6958041
gene_accession_id,MGI:1934811
mouse_strain,C58BL
