parameter_id,IMPC_CBC_013_001
mouse_strain,C57BL
gene_accession_id,MGI:1276578
parameter_name,Alanine aminotransferase
mouse_life_stage,Early adult
pvalue,0.2046486
gene_symbol,Gfi1b
analysis_id,f9339k549x4iflt
