analysis_id,6u1wp8j3e4qy59g
parameter_id,M-G-P_007_001_008
mouse_life_stage,Early adult
pvalue,0.5291584
parameter_name,Periphery - Permanence Time
gene_symbol,Lcn2
gene_accession_id,MGI:96757
mouse_strain,C57BL
