parameter_name,Percent time in dark
mouse_strain,C57BL
mouse_life_stage,Early adult
parameter_id,JAX_LDT_008_001
gene_symbol,Traf6
analysis_id,7h4mk72i1i08m15
pvalue,0.4334169
gene_accession_id,MGI:108072
