gene_symbol,Sfpq
pvalue,0.1977676
mouse_life_stage,Early adult
gene_accession_id,MGI:1918764
parameter_id,IMPC_CBC_053_001
analysis_id,knc97qejgi67387
mouse_strain,C57BL
parameter_name,Thyroxine
