analysis_id,8y70820x71xh09l
mouse_strain,C57BL
gene_symbol,Mapkap1
mouse_life_stage,Early adult
parameter_name,Body Weight
pvalue,0.8718426
parameter_id,M-G-P_012_001_005
gene_accession_id,MGI:2444554
