parameter_name,Snout morphology
gene_accession_id,MGI:3026886
pvalue,0.9443009
analysis_id,6n5pz64hj9yt04q
gene_symbol,Cdin1
parameter_id,MGP_CSD_066_001
mouse_strain,C57BL
mouse_life_stage,E9.5
