analysis_id,59qnyh203uc1har
parameter_id,IMPC_EYE_008_001
mouse_strain,C57BL
parameter_name,Corneal opacity
pvalue,0.3803535
gene_symbol,Gpbp1l1
mouse_life_stage,Early adult
gene_accession_id,MGI:1924360
