mouse_strain,C3H
mouse_life_stage,Early adult
gene_symbol,Mecom
analysis_id,22206979a3r4io3
parameter_name,Coat colouration
gene_accession_id,MGI:95457
parameter_id,M-G-P_026_001_004
pvalue,0.236832
