parameter_id,IMPC_LDT_008_001
mouse_life_stage,Early adult
gene_accession_id,MGI:1922082
mouse_strain,C57BL
gene_symbol,Slc45a3
analysis_id,5q8z94ku825oe66
pvalue,0.4304878
parameter_name,Percent time in light
