parameter_name,Retinal Blood Vessels Pattern
mouse_strain,C57BL
gene_symbol,Snap23
pvalue,0.8846113
gene_accession_id,MGI:109356
analysis_id,6z89j727z9w9124
parameter_id,IMPC_EYE_026_001
mouse_life_stage,Middle aged adult
