gene_symbol,Pum1
pvalue,0.3819919
gene_accession_id,MGI:1931749
mouse_strain,C57BL
analysis_id,2y3f11k2u9i0qe5
parameter_name,Chloride
parameter_id,IMPC_CBC_003_001
mouse_life_stage,Early adult
