analysis_id,2bn7gk1wt4fizxf
gene_symbol,Maco1
gene_accession_id,MGI:1913396
parameter_name,Difference in Cue Tone and Cue Baseline % Freezing
pvalue,0.9681651
mouse_life_stage,Early adult
mouse_strain,C57BL
parameter_id,IMPC_FEA_106_001
