gene_symbol,Rab17
mouse_life_stage,Early adult
mouse_strain,C57BL
pvalue,0.8188231
parameter_id,IMPC_FEA_106_001
analysis_id,43v0843jkxrrjxk
parameter_name,Difference in Cue Tone and Cue Baseline % Freezing
gene_accession_id,MGI:104640
