analysis_id,qz9yhalba2x7s43
gene_symbol,Snrpb2
mouse_life_stage,Early adult
pvalue,0.9122998
parameter_id,MGP_PBI_010_001
mouse_strain,C57BL
parameter_name,CD8+ CD44+ CD62L- alpha beta effector T cell percentage
gene_accession_id,MGI:104805
