gene_symbol,Rufy4
gene_accession_id,MGI:3588214
mouse_life_stage,Early adult
parameter_id,ESLIM_011_001_703
analysis_id,i64j33pot6qts6v
parameter_name,Prepulse inhibition - PP3
mouse_strain,C57BL
pvalue,0.6479532
