gene_symbol,Uckl1
pvalue,0.4490768
parameter_id,UCD_OWT_008_001
gene_accession_id,MGI:1915806
parameter_name,Liver weight
mouse_life_stage,Early adult
analysis_id,j5462485sxywcfy
mouse_strain,C57BL
