gene_symbol,Psd4
mouse_life_stage,Early adult
parameter_id,M-G-P_014_001_001
pvalue,0.335614
gene_accession_id,MGI:2674093
parameter_name,Eye
mouse_strain,C51BL
analysis_id,f2fqkh0137c7s65
