analysis_id,fr4imwh5337xly1
parameter_name,MZB (CD21/35 high)
parameter_id,IMPC_IMM_071_001
gene_symbol,Nucks1
gene_accession_id,MGI:1934811
pvalue,0.2750836
mouse_life_stage,Late adult
mouse_strain,C57BL
