analysis_id,78ysza9wpoi75f8
mouse_strain,129SV
mouse_life_stage,Early adult
gene_accession_id,MGI:2684980
pvalue,0.3142892
parameter_id,MGP_CSD_064_001
parameter_name,Head morphology
gene_symbol,Mms22l
