parameter_name,Right total retinal thickness
pvalue,0.6152723
mouse_strain,C57BL
gene_accession_id,MGI:87968
parameter_id,IMPC_EYE_062_001
gene_symbol,Ahcy
analysis_id,947uk5eo56r86gf
mouse_life_stage,E12.5
