analysis_id,m4dk5oefq2o2s37
parameter_name,Limb grasping
gene_accession_id,MGI:2140475
mouse_life_stage,Early adult
pvalue,0.7542775
mouse_strain,C57BL
parameter_id,ESLIM_008_001_017
gene_symbol,AU040320
