gene_symbol,Cntfr
analysis_id,b4366645s974sx5
parameter_name,Transitional 1 B cells - % of CD45+
pvalue,0.4414769
mouse_strain,C57BL
parameter_id,MGP_IMM_110_001
mouse_life_stage,Early adult
gene_accession_id,MGI:99605
