analysis_id,f45t1s983x5j1sp
parameter_id,HRWLLA_OFD_020_001
parameter_name,Distance travelled - total
pvalue,0.382948
mouse_life_stage,Early adult
gene_symbol,Kdm4c
gene_accession_id,MGI:1924054
mouse_strain,C57BL
