gene_symbol,Steap3
mouse_life_stage,Early adult
analysis_id,mt2e2i33qj7olgy
pvalue,0.09559086
parameter_name,Lens
gene_accession_id,MGI:1915678
mouse_strain,C57BL
parameter_id,IMPC_EYE_016_001
