parameter_name,Hindlimb nail - number
parameter_id,IMPC_CSD_051_002
pvalue,0.9259732
gene_accession_id,MGI:1919949
mouse_strain,C57BL
analysis_id,w4224505z0zbfd9
gene_symbol,Lime1
mouse_life_stage,Early adult
