parameter_name,Fusion of vertebrae
parameter_id,M-G-P_006_001_026
pvalue,0.5731849
gene_symbol,Bcs1l
gene_accession_id,MGI:1914071
mouse_strain,C57BL
analysis_id,kg6i48zg5od8w31
mouse_life_stage,Early adult
