analysis_id,5kg44ckb4vm3zlz
gene_symbol,Atg4c
parameter_name,Bone Mineral Density (excluding skull)
pvalue,0.3674079
mouse_strain,C57BL
mouse_life_stage,Early adult
parameter_id,IMPC_DXA_004_001
gene_accession_id,MGI:2651854
