analysis_id,633284xw7p5sd3x
parameter_name,Alanine aminotransferase
gene_symbol,Amigo1
mouse_strain,C57BL
pvalue,0.4050403
mouse_life_stage,Early adult
gene_accession_id,MGI:2653612
parameter_id,IMPC_CBC_013_001
