analysis_id,e0669u1t0p882t2
mouse_strain,C57BL
gene_symbol,AU040320
mouse_life_stage,Middle aged adult
pvalue,0.2987726
parameter_id,MGP_IMM_131_001
parameter_name,CD103+ CD11b-low cDC - % of CD45+
gene_accession_id,MGI:2140475
