parameter_name,Phosphorus
pvalue,0.1917132
analysis_id,2dhe772l7z06ain
gene_symbol,Fgb
mouse_strain,C57BL
parameter_id,HMGULA_CBC_010_001
mouse_life_stage,E15.5
gene_accession_id,MGI:99501
