analysis_id,661cu936687ld2s
pvalue,0.9322044
mouse_strain,C57BL
gene_symbol,Tbl1xr1
mouse_life_stage,Early adult
parameter_id,ESLIM_007_001_015
gene_accession_id,MGI:2441730
parameter_name,Number of centre entries
