analysis_id,61c30h95o95oe53
gene_symbol,Frmpd1
gene_accession_id,MGI:2446274
mouse_life_stage,Early adult
mouse_strain,C57BL
parameter_name,Joints
pvalue,0.9172576
parameter_id,IMPC_XRY_027_001
