analysis_id,z875lau2bzjc1gd
mouse_strain,129SV
mouse_life_stage,Early adult
parameter_name,Hemoglobin
gene_symbol,Bpifa3
gene_accession_id,MGI:1920638
parameter_id,IMPC_HEM_003_001
pvalue,0.7440919
