analysis_id,qfq17w001q243f8
gene_symbol,Ufc1
mouse_strain,C57BL
gene_accession_id,MGI:1913405
pvalue,0.659106
mouse_life_stage,Early adult
parameter_name,Corneal vascularization
parameter_id,IMPC_EYE_009_001
