analysis_id,1sny7aw3153gp47
gene_accession_id,MGI:103302
parameter_id,IMPC_XRY_018_001
mouse_strain,C57BL
parameter_name,Shape of vertebrae
pvalue,0.2485898
gene_symbol,Bmp7
mouse_life_stage,Early adult
