analysis_id,ft1v2y01or79rd2
gene_symbol,Hspa5
gene_accession_id,MGI:95835
pvalue,0.611499
mouse_life_stage,E9.5
parameter_id,MGP_PBI_016_001
parameter_name,Monocyte percentage
mouse_strain,C57BL
