gene_symbol,Ncaph
analysis_id,23515m4h7jbjqy7
parameter_name,Center average speed
mouse_life_stage,Early adult
parameter_id,HRWLLA_OFD_017_001
mouse_strain,C57BL
gene_accession_id,MGI:2444777
pvalue,0.2416078
