parameter_name,Shape of vertebrae
mouse_life_stage,Late adult
analysis_id,5450484b7b92854
parameter_id,IMPC_XRY_018_001
pvalue,0.7738585
gene_symbol,Tbl1xr1
gene_accession_id,MGI:2441730
mouse_strain,C57BL
