parameter_name,Red blood cell count
parameter_id,ESLIM_016_001_002
gene_symbol,Snap23
mouse_strain,C57BL
mouse_life_stage,Late adult
analysis_id,q62nmrpa7vqy3j8
gene_accession_id,MGI:109356
pvalue,0.2059228
