gene_symbol,Maco1
parameter_id,MGP_IMM_026_001
gene_accession_id,MGI:1913396
analysis_id,8nh4yb7h8xv133x
parameter_name,Effector CD4- NKT cells - % of CD4- NKT cells
pvalue,0.577477
mouse_life_stage,Early adult
mouse_strain,C57BL
