analysis_id,08wb797w3hyp7a3
parameter_id,MGP_MLN_074_001
gene_accession_id,MGI:87968
parameter_name,Effector CD8+ T cells - % of CD45+
gene_symbol,Ahcy
pvalue,0.5519186
mouse_life_stage,E12.5
mouse_strain,C57BL
