gene_symbol,Tubb4b
pvalue,0.3911834
parameter_name,Startle response
parameter_id,ESLIM_008_001_013
mouse_life_stage,Early adult
mouse_strain,C57BL
analysis_id,6du37hda1c36lxs
gene_accession_id,MGI:1915472
