analysis_id,26g4h98bh849fx3
parameter_name,Mean corpuscular hemoglobin
parameter_id,IMPC_HEM_006_001
mouse_strain,C57BL
gene_symbol,Atf3
gene_accession_id,MGI:109384
mouse_life_stage,Early adult
pvalue,0.2620985
