analysis_id,c560fp8dl43d6ob
gene_accession_id,MGI:106659
parameter_name,Initial response to glucose challenge
parameter_id,IMPC_IPG_011_001
mouse_life_stage,Early adult
pvalue,0.9333418
mouse_strain,C57BL
gene_symbol,Sprr1b
