gene_symbol,Bmp7
gene_accession_id,MGI:103302
mouse_life_stage,Early adult
parameter_name,Fasted blood glucose concentration
pvalue,0.7338244
analysis_id,4sg936end8cy1eb
mouse_strain,C57BL
parameter_id,IMPC_IPG_010_001
