gene_symbol,Slx4ip
gene_accession_id,MGI:1921493
parameter_id,MGP_PBI_010_001
mouse_strain,C57BL
mouse_life_stage,Early adult
analysis_id,1q4685p35s4d73c
parameter_name,CD8+ CD44+ CD62L- alpha beta effector T cell percentage
pvalue,0.7275933
