parameter_name,Radius
parameter_id,IMPC_XRY_022_001
mouse_strain,C57BL
analysis_id,78ss69g2gj90p5r
pvalue,0.3645215
mouse_life_stage,Early adult
gene_accession_id,MGI:1927379
gene_symbol,Rhbg
