gene_symbol,Dnaaf9
mouse_life_stage,Early adult
parameter_name,Persistence of hyaloid vascular system
parameter_id,IMPC_EYE_027_001
gene_accession_id,MGI:1923029
pvalue,0.6921999
mouse_strain,C57BL
analysis_id,gw10c4bftu2812q
