analysis_id,6n872417f1kn3c4
parameter_name,Periphery resting time
pvalue,0.08090531
gene_accession_id,MGI:1933159
mouse_strain,C57BL
gene_symbol,Rnf114
parameter_id,ESLIM_007_001_007
mouse_life_stage,Early adult
