parameter_id,IMPC_IMM_065_001
gene_symbol,SNRPB2
pvalue,0.8696407
mouse_strain,C57BL
mouse_life_stage,Early adult
parameter_name,B2B Cells
gene_accession_id,MGI:104805
analysis_id,05677870365iw40
