gene_symbol,Zcchc2
parameter_name,lens
analysis_id,umhn1x29j3klb9h
parameter_id,M-G-P_014_001_009
pvalue,0.6003739
mouse_life_stage,Early adult
gene_accession_id,MGI:2444114
mouse_strain,C57BL
