gene_symbol,Rgs20
gene_accession_id,MGI:1929866
pvalue,0.1572117
parameter_name,Femur
parameter_id,IMPC_XRY_024_001
analysis_id,4at09690mqqtgav
mouse_life_stage,Early adult
mouse_strain,C57BL
