analysis_id,av60rl32850690m
parameter_id,IMPC_ECG_004_001
mouse_strain,C57BL
pvalue,0.7800866
gene_accession_id,MGI:1914515
parameter_name,RR
mouse_life_stage,E9.5
gene_symbol,Slc39a10
