parameter_name,Cleft palate
gene_accession_id,MGI:1914050
pvalue,0.06603029
parameter_id,IMPC_GEP_076_001
mouse_strain,C57BL
mouse_life_stage,Early adult
gene_symbol,Trp53rkb
analysis_id,fvb1q989wx2l6w3
