gene_symbol,Dmap1
parameter_name,Red blood cell count
mouse_strain,C57BL
mouse_life_stage,E9.5
parameter_id,ESLIM_016_001_002
gene_accession_id,MGI:1913483
analysis_id,4mg05s403q1io80
pvalue,0.6646898
