parameter_name,ST
analysis_id,mo9mhg272336137
pvalue,0.7439054
parameter_id,IMPC_ECG_008_001
gene_symbol,Bcs1l
mouse_life_stage,E9.5
mouse_strain,C57BL
gene_accession_id,MGI:1914071
