analysis_id,6476p7cnj05b91d
gene_accession_id,MGI:2685277
gene_symbol,Zyg11b
parameter_id,IMPC_IMM_034_001
parameter_name,CD8 CD44-CD62L+ T cells
mouse_life_stage,Early adult
pvalue,0.7134856
mouse_strain,C57BL
